
 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-08-07 00:01:39
 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 53 và 1|| Thời gian tách : 2022-08-07 00:02:30

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 53 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 52 và 1|| Thời gian tách : 2022-08-07 00:02:32

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 52 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 51 và 1|| Thời gian tách : 2022-08-07 00:02:34

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 51 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 50 và 1|| Thời gian tách : 2022-08-07 00:02:38

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 49 và 1|| Thời gian tách : 2022-08-07 00:02:40

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2022-08-07 00:02:42

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 47 và 1|| Thời gian tách : 2022-08-07 00:02:43

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 46 và 1|| Thời gian tách : 2022-08-07 00:02:46

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 46 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 45 và 1|| Thời gian tách : 2022-08-07 00:02:48

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 45 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 44 và 1|| Thời gian tách : 2022-08-07 00:02:52

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 43 và 1|| Thời gian tách : 2022-08-07 00:02:54

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-08-07 00:02:56

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-08-07 00:02:58

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 41 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 40 và 1|| Thời gian tách : 2022-08-07 00:03:00

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-08-07 00:03:16

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 58 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 57 và 1|| Thời gian tách : 2022-08-07 00:03:18

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 57 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 56 và 1|| Thời gian tách : 2022-08-07 00:03:20

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 56 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 55 và 1|| Thời gian tách : 2022-08-07 00:03:22

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 55 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 54 và 1|| Thời gian tách : 2022-08-07 00:03:24

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 53 và 1|| Thời gian tách : 2022-08-07 00:03:25

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 53 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 52 và 1|| Thời gian tách : 2022-08-07 00:03:28

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 52 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 51 và 1|| Thời gian tách : 2022-08-07 00:03:30

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 51 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 50 và 1|| Thời gian tách : 2022-08-07 00:03:32

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 49 và 1|| Thời gian tách : 2022-08-07 00:03:34

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2022-08-07 00:03:36

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 47 và 1|| Thời gian tách : 2022-08-07 00:03:38

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 46 và 1|| Thời gian tách : 2022-08-07 00:03:40

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 46 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 45 và 1|| Thời gian tách : 2022-08-07 00:03:42

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 45 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 44 và 1|| Thời gian tách : 2022-08-07 00:03:44

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 43 và 1|| Thời gian tách : 2022-08-07 00:03:45

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 42 và 1|| Thời gian tách : 2022-08-07 00:03:48

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 42 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 41 và 1|| Thời gian tách : 2022-08-07 00:03:53

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 41 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 40 và 1|| Thời gian tách : 2022-08-07 00:03:55

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-08-07 00:03:57

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 877 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 876 và 1|| Thời gian tách : 2022-08-07 00:04:41

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 876 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 875 và 1|| Thời gian tách : 2022-08-07 00:04:42

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 875 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 874 và 1|| Thời gian tách : 2022-08-07 00:04:44

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 874 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 873 và 1|| Thời gian tách : 2022-08-07 00:04:46

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 873 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 872 và 1|| Thời gian tách : 2022-08-07 00:04:48

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 872 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 871 và 1|| Thời gian tách : 2022-08-07 00:04:50

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 871 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 870 và 1|| Thời gian tách : 2022-08-07 00:04:53

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 870 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 869 và 1|| Thời gian tách : 2022-08-07 00:04:54

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 869 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 868 và 1|| Thời gian tách : 2022-08-07 00:04:57

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 868 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 867 và 1|| Thời gian tách : 2022-08-07 00:05:31

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 867 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 866 và 1|| Thời gian tách : 2022-08-07 00:05:33

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 866 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 865 và 1|| Thời gian tách : 2022-08-07 00:05:34

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 865 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 864 và 1|| Thời gian tách : 2022-08-07 00:05:38

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 869 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 868 và 1|| Thời gian tách : 2022-08-07 00:05:47

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 868 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 867 và 1|| Thời gian tách : 2022-08-07 00:05:49

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 867 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 866 và 1|| Thời gian tách : 2022-08-07 00:05:50

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 866 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 865 và 1|| Thời gian tách : 2022-08-07 00:05:54

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 865 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 864 và 1|| Thời gian tách : 2022-08-07 00:05:55

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 864 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 863 và 1|| Thời gian tách : 2022-08-07 00:05:57

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 863 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 862 và 1|| Thời gian tách : 2022-08-07 00:06:00

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 862 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 861 và 1|| Thời gian tách : 2022-08-07 00:06:05

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 861 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 860 và 1|| Thời gian tách : 2022-08-07 00:06:07

 Name : shimitsu đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 860 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 859 và 1|| Thời gian tách : 2022-08-07 00:06:10

 Name : nhinlolzz đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-08-07 00:06:51

 Name : thucung đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-08-07 00:12:01

 Name : minhduy86 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-08-07 00:20:05

 Name : minhduy86 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-07 00:20:15

 Name : minhduy86 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-07 00:20:24

 Name : minhduy86 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-07 00:20:31

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 18137 || Số lượng tách: 11111 || Số lượng vật phẩm sau khi tách: 7026 và 11111|| Thời gian tách : 2022-08-07 00:25:22

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-07 00:28:04

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 11111 || Số lượng tách: 2214 || Số lượng vật phẩm sau khi tách: 8897 và 2214|| Thời gian tách : 2022-08-07 00:30:24

 Name : kakalotz đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-07 00:36:59

 Name : vcb5ghg đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 1063 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 963 và 100|| Thời gian tách : 2022-08-07 00:41:57

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-08-07 00:42:15

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-08-07 00:42:19

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-08-07 00:42:24

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-08-07 00:42:28

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-08-07 00:42:32

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-08-07 00:42:37

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-08-07 00:42:50

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-08-07 00:42:54

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-08-07 00:42:58

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-08-07 00:43:02

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-08-07 00:43:07

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-08-07 00:43:10

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-07 00:43:15

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-07 00:43:19

 Name : trumtone đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-07 00:43:23

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 59 và 20|| Thời gian tách : 2022-08-07 00:44:13

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 3 và 3|| Thời gian tách : 2022-08-07 00:44:46

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 78 và 1|| Thời gian tách : 2022-08-07 00:47:10

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 77 và 1|| Thời gian tách : 2022-08-07 00:47:17

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 76 và 1|| Thời gian tách : 2022-08-07 00:47:27

 Name : kakalotz đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-08-07 00:47:34

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-08-07 00:47:38

 Name : kakalotz đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-08-07 00:47:39

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-08-07 00:47:43

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-07 00:47:49

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-07 00:47:54

 Name : kakalotz đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-08-07 00:47:56

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-07 00:47:59

 Name : kakalotz đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-07 00:48:00

 Name : yenyen đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-07 00:48:05

