
 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-05-21 02:11:03
 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 62 và 1|| Thời gian tách : 2022-05-21 02:12:30

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 62 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 61 và 1|| Thời gian tách : 2022-05-21 02:12:31

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 61 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 60 và 1|| Thời gian tách : 2022-05-21 02:12:33

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 60 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 59 và 1|| Thời gian tách : 2022-05-21 02:12:34

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-05-21 02:12:36

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 58 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 57 và 1|| Thời gian tách : 2022-05-21 02:12:37

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 57 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 56 và 1|| Thời gian tách : 2022-05-21 02:12:38

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 56 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 55 và 1|| Thời gian tách : 2022-05-21 02:12:40

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 55 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 54 và 1|| Thời gian tách : 2022-05-21 02:12:41

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 53 và 1|| Thời gian tách : 2022-05-21 02:12:43

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 53 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 52 và 1|| Thời gian tách : 2022-05-21 02:12:56

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 52 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 51 và 1|| Thời gian tách : 2022-05-21 02:12:58

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 24 và 1|| Thời gian tách : 2022-05-21 03:26:35

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 24 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 23 và 1|| Thời gian tách : 2022-05-21 03:26:40

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 22 và 1|| Thời gian tách : 2022-05-21 03:26:45

 Name : o0bonghe0o đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 1 và 3|| Thời gian tách : 2022-05-21 07:41:47

 Name : trumtop đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 15039 || Số lượng tách: 5003 || Số lượng vật phẩm sau khi tách: 10036 và 5003|| Thời gian tách : 2022-05-21 07:52:17

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5712 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 3712 và 2000|| Thời gian tách : 2022-05-21 08:03:23

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 24 và 1|| Thời gian tách : 2022-05-21 08:49:59

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 24 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 23 và 1|| Thời gian tách : 2022-05-21 08:50:03

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 22 và 1|| Thời gian tách : 2022-05-21 08:50:08

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 22 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 21 và 1|| Thời gian tách : 2022-05-21 08:50:12

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 21 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 20 và 1|| Thời gian tách : 2022-05-21 08:50:16

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19 và 1|| Thời gian tách : 2022-05-21 08:50:21

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-05-21 08:50:25

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-05-21 08:50:43

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-21 08:50:47

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-21 08:50:50

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-21 08:50:54

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-21 08:50:58

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-21 08:51:01

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-21 08:51:04

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-21 08:51:08

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-21 08:51:11

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-21 08:51:13

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-21 08:51:17

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-21 08:51:20

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-21 08:51:24

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 790 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 789 và 1|| Thời gian tách : 2022-05-21 08:59:09

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 789 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 788 và 1|| Thời gian tách : 2022-05-21 08:59:10

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 788 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 787 và 1|| Thời gian tách : 2022-05-21 08:59:12

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 787 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 786 và 1|| Thời gian tách : 2022-05-21 08:59:14

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 786 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 785 và 1|| Thời gian tách : 2022-05-21 08:59:19

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 785 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 784 và 1|| Thời gian tách : 2022-05-21 08:59:22

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 784 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 783 và 1|| Thời gian tách : 2022-05-21 08:59:24

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 783 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 782 và 1|| Thời gian tách : 2022-05-21 08:59:27

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 782 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 781 và 1|| Thời gian tách : 2022-05-21 08:59:29

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 781 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 780 và 1|| Thời gian tách : 2022-05-21 08:59:31

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 780 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 779 và 1|| Thời gian tách : 2022-05-21 08:59:33

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 790 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 789 và 1|| Thời gian tách : 2022-05-21 08:59:40

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 789 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 788 và 1|| Thời gian tách : 2022-05-21 08:59:42

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 788 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 787 và 1|| Thời gian tách : 2022-05-21 08:59:45

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 787 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 786 và 1|| Thời gian tách : 2022-05-21 08:59:48

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 786 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 785 và 1|| Thời gian tách : 2022-05-21 08:59:51

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 785 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 784 và 1|| Thời gian tách : 2022-05-21 08:59:53

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 784 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 783 và 1|| Thời gian tách : 2022-05-21 08:59:55

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 783 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 782 và 1|| Thời gian tách : 2022-05-21 08:59:59

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 782 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 781 và 1|| Thời gian tách : 2022-05-21 09:00:03

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 781 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 780 và 1|| Thời gian tách : 2022-05-21 09:00:05

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 780 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 779 và 1|| Thời gian tách : 2022-05-21 09:00:07

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 779 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 778 và 1|| Thời gian tách : 2022-05-21 09:00:10

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 778 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 777 và 1|| Thời gian tách : 2022-05-21 09:00:13

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 777 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 776 và 1|| Thời gian tách : 2022-05-21 09:00:14

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 776 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 775 và 1|| Thời gian tách : 2022-05-21 09:00:20

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 776 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 775 và 1|| Thời gian tách : 2022-05-21 09:01:11

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 775 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 774 và 1|| Thời gian tách : 2022-05-21 09:01:14

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 774 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 773 và 1|| Thời gian tách : 2022-05-21 09:01:16

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 773 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 772 và 1|| Thời gian tách : 2022-05-21 09:01:18

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 772 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 771 và 1|| Thời gian tách : 2022-05-21 09:01:20

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 771 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 770 và 1|| Thời gian tách : 2022-05-21 09:01:22

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 770 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 769 và 1|| Thời gian tách : 2022-05-21 09:01:24

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 769 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 768 và 1|| Thời gian tách : 2022-05-21 09:01:26

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 768 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 767 và 1|| Thời gian tách : 2022-05-21 09:01:27

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 767 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 766 và 1|| Thời gian tách : 2022-05-21 09:01:29

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 766 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 765 và 1|| Thời gian tách : 2022-05-21 09:01:31

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 765 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 764 và 1|| Thời gian tách : 2022-05-21 09:01:32

 Name : chipa15bionic đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 764 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 763 và 1|| Thời gian tách : 2022-05-21 09:01:34

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4400 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 3400 và 1000|| Thời gian tách : 2022-05-21 09:25:41

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 9054 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 7054 và 2000|| Thời gian tách : 2022-05-21 09:42:27

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 7054 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 5054 và 2000|| Thời gian tách : 2022-05-21 09:42:46

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 5054 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 3054 và 2000|| Thời gian tách : 2022-05-21 09:42:51

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 3054 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 1054 và 2000|| Thời gian tách : 2022-05-21 09:42:55

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 50 và 50|| Thời gian tách : 2022-05-21 09:44:11

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 7992 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 2992 và 5000|| Thời gian tách : 2022-05-21 09:56:14

 Name : trumtop đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 454 || Số lượng tách: 24 || Số lượng vật phẩm sau khi tách: 430 và 24|| Thời gian tách : 2022-05-21 10:27:06

 Name : kakakuri đã tách vật phẩm || Vật phẩm tách: 598 || Số lượng vật phẩm ban đầu 129 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 128 và 1|| Thời gian tách : 2022-05-21 11:03:21

 Name : trumtop đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 393 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 193 và 200|| Thời gian tách : 2022-05-21 11:20:18

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 132 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 131 và 1|| Thời gian tách : 2022-05-21 11:25:43

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 131 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 130 và 1|| Thời gian tách : 2022-05-21 11:25:47

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 130 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 129 và 1|| Thời gian tách : 2022-05-21 11:25:51

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 129 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 128 và 1|| Thời gian tách : 2022-05-21 11:25:55

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 128 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 127 và 1|| Thời gian tách : 2022-05-21 11:25:58

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 127 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 126 và 1|| Thời gian tách : 2022-05-21 11:26:01

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 126 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 125 và 1|| Thời gian tách : 2022-05-21 11:26:05

 Name : nhincaidaubuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 125 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 124 và 1|| Thời gian tách : 2022-05-21 11:26:08

